(epoch: 85, iters: 320, time: 0.014, data: 0.070 ETA:    0:30:02) G_GAN: 1.574 G_L1: 6.916 D_real: 0.262 D_fake: 0.292 
(epoch: 85, iters: 1120, time: 0.006, data: 0.088 ETA:    0:12:45) G_GAN: 0.988 G_L1: 6.698 D_real: 0.838 D_fake: 0.146 
(epoch: 86, iters: 800, time: 0.014, data: 1.189 ETA:    0:29:49) G_GAN: 1.449 G_L1: 6.938 D_real: 0.271 D_fake: 0.502 
(epoch: 87, iters: 480, time: 0.014, data: 0.016 ETA:    0:28:58) G_GAN: 0.958 G_L1: 6.222 D_real: 1.214 D_fake: 0.073 
(epoch: 88, iters: 160, time: 0.015, data: 0.085 ETA:    0:30:20) G_GAN: 1.969 G_L1: 6.202 D_real: 0.074 D_fake: 0.980 
(epoch: 88, iters: 960, time: 0.014, data: 0.036 ETA:    0:27:56) G_GAN: 0.499 G_L1: 7.378 D_real: 0.871 D_fake: 0.171 
(epoch: 89, iters: 640, time: 0.015, data: 0.093 ETA:    0:31:13) G_GAN: 1.089 G_L1: 6.219 D_real: 0.992 D_fake: 0.222 
(epoch: 90, iters: 320, time: 0.015, data: 0.046 ETA:    0:29:42) G_GAN: 2.093 G_L1: 7.233 D_real: 0.166 D_fake: 0.335 
(epoch: 90, iters: 1120, time: 0.006, data: 0.010 ETA:    0:12:53) G_GAN: 1.112 G_L1: 6.024 D_real: 0.608 D_fake: 0.194 
(epoch: 91, iters: 800, time: 0.015, data: 1.236 ETA:    0:30:36) G_GAN: 1.906 G_L1: 6.076 D_real: 0.248 D_fake: 0.715 
(epoch: 92, iters: 480, time: 0.014, data: 0.061 ETA:    0:28:07) G_GAN: 1.129 G_L1: 6.107 D_real: 0.306 D_fake: 0.193 
(epoch: 93, iters: 160, time: 0.015, data: 0.070 ETA:    0:30:27) G_GAN: 1.907 G_L1: 5.903 D_real: 0.259 D_fake: 0.514 
(epoch: 93, iters: 960, time: 0.014, data: 0.017 ETA:    0:27:20) G_GAN: 2.560 G_L1: 6.735 D_real: 0.280 D_fake: 0.426 
(epoch: 94, iters: 640, time: 0.014, data: 0.010 ETA:    0:28:10) G_GAN: 2.104 G_L1: 6.489 D_real: 0.309 D_fake: 0.238 
(epoch: 95, iters: 320, time: 0.014, data: 0.053 ETA:    0:27:07) G_GAN: 1.447 G_L1: 6.459 D_real: 0.307 D_fake: 0.346 
(epoch: 95, iters: 1120, time: 0.006, data: 0.066 ETA:    0:11:33) G_GAN: 0.233 G_L1: 7.881 D_real: 1.099 D_fake: 0.116 
(epoch: 96, iters: 800, time: 0.014, data: 1.258 ETA:    0:27:30) G_GAN: 0.932 G_L1: 5.964 D_real: 0.467 D_fake: 0.403 
(epoch: 97, iters: 480, time: 0.014, data: 0.008 ETA:    0:27:03) G_GAN: 1.376 G_L1: 6.084 D_real: 0.426 D_fake: 0.457 
(epoch: 98, iters: 160, time: 0.014, data: 0.009 ETA:    0:26:24) G_GAN: 1.003 G_L1: 6.451 D_real: 0.886 D_fake: 0.127 
(epoch: 98, iters: 960, time: 0.014, data: 0.006 ETA:    0:26:47) G_GAN: 0.883 G_L1: 5.696 D_real: 0.903 D_fake: 0.094 
(epoch: 99, iters: 640, time: 0.014, data: 0.122 ETA:    0:26:55) G_GAN: 1.905 G_L1: 6.256 D_real: 0.200 D_fake: 0.559 
(epoch: 100, iters: 320, time: 0.014, data: 0.130 ETA:    0:26:19) G_GAN: 2.322 G_L1: 6.156 D_real: 0.246 D_fake: 0.233 
(epoch: 100, iters: 1120, time: 0.006, data: 0.010 ETA:    0:11:29) G_GAN: 0.229 G_L1: 6.522 D_real: 1.375 D_fake: 0.199 
(epoch: 101, iters: 800, time: 0.015, data: 1.226 ETA:    0:27:25) G_GAN: 0.713 G_L1: 6.576 D_real: 1.517 D_fake: 0.084 
(epoch: 102, iters: 480, time: 0.015, data: 0.073 ETA:    0:27:04) G_GAN: 1.567 G_L1: 6.324 D_real: 0.289 D_fake: 0.226 
(epoch: 103, iters: 160, time: 0.013, data: 0.032 ETA:    0:24:20) G_GAN: 2.096 G_L1: 5.338 D_real: 0.172 D_fake: 0.862 
(epoch: 103, iters: 960, time: 0.014, data: 0.014 ETA:    0:25:00) G_GAN: 1.801 G_L1: 6.864 D_real: 0.193 D_fake: 0.337 
(epoch: 104, iters: 640, time: 0.014, data: 0.093 ETA:    0:25:18) G_GAN: 2.073 G_L1: 6.185 D_real: 0.254 D_fake: 0.669 
(epoch: 105, iters: 320, time: 0.014, data: 0.010 ETA:    0:25:03) G_GAN: 0.741 G_L1: 6.093 D_real: 0.834 D_fake: 0.544 
(epoch: 105, iters: 1120, time: 0.006, data: 0.065 ETA:    0:10:31) G_GAN: 2.980 G_L1: 8.436 D_real: 0.110 D_fake: 0.128 
(epoch: 106, iters: 800, time: 0.014, data: 1.180 ETA:    0:24:32) G_GAN: 2.059 G_L1: 6.479 D_real: 0.326 D_fake: 0.366 
(epoch: 107, iters: 480, time: 0.014, data: 0.013 ETA:    0:24:30) G_GAN: 1.470 G_L1: 5.947 D_real: 0.186 D_fake: 0.452 
(epoch: 108, iters: 160, time: 0.014, data: 0.090 ETA:    0:24:37) G_GAN: 2.074 G_L1: 6.773 D_real: 0.206 D_fake: 0.266 
(epoch: 108, iters: 960, time: 0.014, data: 0.010 ETA:    0:23:34) G_GAN: 1.236 G_L1: 7.386 D_real: 0.557 D_fake: 0.193 
(epoch: 109, iters: 640, time: 0.014, data: 0.100 ETA:    0:24:04) G_GAN: 3.516 G_L1: 6.814 D_real: 0.052 D_fake: 0.390 
(epoch: 110, iters: 320, time: 0.014, data: 0.075 ETA:    0:23:46) G_GAN: 2.507 G_L1: 7.187 D_real: 0.554 D_fake: 0.065 
(epoch: 110, iters: 1120, time: 0.006, data: 0.012 ETA:    0:10:12) G_GAN: 0.943 G_L1: 8.265 D_real: 0.607 D_fake: 0.146 
(epoch: 111, iters: 800, time: 0.015, data: 1.214 ETA:    0:24:05) G_GAN: 1.882 G_L1: 6.115 D_real: 0.298 D_fake: 0.229 
(epoch: 112, iters: 480, time: 0.014, data: 0.011 ETA:    0:22:59) G_GAN: 2.814 G_L1: 6.486 D_real: 0.038 D_fake: 0.174 
(epoch: 113, iters: 160, time: 0.014, data: 0.128 ETA:    0:23:12) G_GAN: 3.040 G_L1: 6.407 D_real: 0.093 D_fake: 0.212 
(epoch: 113, iters: 960, time: 0.013, data: 0.021 ETA:    0:20:40) G_GAN: 1.919 G_L1: 6.662 D_real: 0.306 D_fake: 0.081 
(epoch: 114, iters: 640, time: 0.014, data: 0.023 ETA:    0:22:35) G_GAN: 3.453 G_L1: 6.156 D_real: 0.331 D_fake: 0.031 
(epoch: 115, iters: 320, time: 0.014, data: 0.055 ETA:    0:22:24) G_GAN: 2.760 G_L1: 6.327 D_real: 0.066 D_fake: 0.125 
(epoch: 115, iters: 1120, time: 0.006, data: 0.011 ETA:    0:09:38) G_GAN: 1.030 G_L1: 8.580 D_real: 0.999 D_fake: 0.059 
(epoch: 116, iters: 800, time: 0.014, data: 1.223 ETA:    0:21:47) G_GAN: 3.611 G_L1: 5.870 D_real: 0.198 D_fake: 0.054 
(epoch: 117, iters: 480, time: 0.015, data: 0.075 ETA:    0:23:15) G_GAN: 3.871 G_L1: 7.936 D_real: 0.512 D_fake: 0.490 
